"customer_key","gender","name","city","state_code","state","zip_code","country","continent","birthday","first_purchase_date","last_purchase_date","lifetime_spend","total_orders","months_since_first_purchase"
9184,Male,Sam Zimpel,CORUNNUN,VIC,Victoria,"3249",Australia,Australia,1964-11-24,2017-10-26,2018-07-04,26039.44,2,40
9360,Male,Mitchell Adam,MOPARRABAH,NSW,New South Wales,"2440",Australia,Australia,1955-01-30,,,,,
9370,Female,Ruby Lock,Cook,ACT,Australian Capital Territory,"2614",Australia,Australia,1953-05-26,,,,,
9812,Female,Kaitlyn Morshead,MINJARY,NSW,New South Wales,"2720",Australia,Australia,1953-01-23,2016-08-18,2021-01-21,4339.40,3,54
10039,Female,Brianna Hann,NIKENBAH,QLD,Queensland,"4655",Australia,Australia,1947-10-22,2019-11-12,2019-11-12,899.97,1,15
10189,Female,Alexis Birchell,FOREST REEFS,NSW,New South Wales,"2798",Australia,Australia,1962-04-07,,,,,
10299,Male,Anthony Macvitie,BEELBANGERA,NSW,New South Wales,"2680",Australia,Australia,1937-05-27,2017-01-28,2017-01-28,419.96,1,49
10332,Male,James Burnage,Palmyra,WA,Western Australia,"6157",Australia,Australia,1937-03-26,,,,,
10481,Female,Piper Maudsley,CELLS RIVER,NSW,New South Wales,"2324",Australia,Australia,1977-04-17,,,,,
10504,Male,Daniel Rusconi,SOUTH DATATINE,WA,Western Australia,"6317",Australia,Australia,1980-10-22,,,,,
11090,Female,Scarlett Scollen,SILVERWATER,NSW,New South Wales,"2128",Australia,Australia,1953-01-20,,,,,
11736,Female,Summer Brownrigg,YARRABILBA,QLD,Queensland,"4207",Australia,Australia,1991-01-22,,,,,
12084,Male,Toby Chauvel,GALGA,SA,South Australia,"5308",Australia,Australia,1958-07-20,,,,,
12160,Male,Jett Creal,Oakhurst,NSW,New South Wales,"2761",Australia,Australia,1956-09-05,2016-03-03,2018-06-13,7465.78,2,59
12162,Female,Eva Lavarack,WHITTINGTON,VIC,Victoria,"3219",Australia,Australia,1954-07-30,,,,,
12385,Female,Lily Gribble,OVERLAND CORNER,SA,South Australia,"5330",Australia,Australia,1981-06-10,,,,,
12729,Male,Xavier Sturdee,STANNUM,NSW,New South Wales,"2371",Australia,Australia,1937-10-14,2016-12-24,2019-08-21,6990.45,4,50
13045,Female,Abbey Storkey,BLUE MOUNTAIN HEIGHTS,QLD,Queensland,"4350",Australia,Australia,1957-10-19,2016-12-07,2018-07-07,1785.72,2,50
13071,Female,Claudia Fuller,CUBALLING,WA,Western Australia,"6311",Australia,Australia,1973-06-28,2020-11-14,2020-11-14,749.00,1,3
13232,Female,Maya Coates,UNLEY BC,SA,South Australia,"5061",Australia,Australia,1985-08-12,,,,,
13365,Male,Mitchell Cutlack,MOONEM,NSW,New South Wales,"2471",Australia,Australia,1961-01-02,2021-02-19,2021-02-19,109.00,1,0
13607,Female,Gemma Maum,MAMBRAY CREEK,SA,South Australia,"5495",Australia,Australia,1954-09-21,,,,,
14275,Female,Dakota Dunshea,BENTLEY,NSW,New South Wales,"2480",Australia,Australia,1979-05-02,,,,,
15109,Female,Sara Marsden,WHALE BEACH,NSW,New South Wales,"2107",Australia,Australia,1999-08-18,,,,,
15385,Male,Harry Morgans,DOONGIN,WA,Western Australia,"6409",Australia,Australia,1995-05-11,,,,,
15569,Female,Chelsea Weekes,COLAC,VIC,Victoria,"3250",Australia,Australia,1983-09-08,,,,,
16282,Female,Evie Kirkhope,REIDS FLAT,NSW,New South Wales,"2586",Australia,Australia,2000-05-11,,,,,
16716,Female,Abby Frater,KAYUGA,NSW,New South Wales,"2333",Australia,Australia,1987-12-16,2019-07-15,2019-07-15,1889.08,1,19
17811,Female,Alicia Hoy,WATTLE GLEN,VIC,Victoria,"3096",Australia,Australia,1985-10-15,2018-12-20,2018-12-20,2727.20,1,26
18067,Male,Rory Koerstz,MOUNT MCKENZIE,SA,South Australia,"5353",Australia,Australia,1941-10-26,,,,,
21424,Male,Justin Tickell,HEYTESBURY LOWER,VIC,Victoria,"3268",Australia,Australia,1940-07-29,2019-12-28,2020-08-06,6951.89,2,14
21523,Male,Jayden Rennie,SWANHAVEN,NSW,New South Wales,"2540",Australia,Australia,1969-12-06,2017-02-23,2017-02-23,10395.99,1,48
21575,Male,Zac Chumleigh,CRAIGIE,WA,Western Australia,"6025",Australia,Australia,1991-12-29,2016-06-14,2016-06-14,429.00,1,56
22158,Male,Will Parer,CHURCH POINT,NSW,New South Wales,"2105",Australia,Australia,1996-12-10,,,,,
22384,Male,Jaxon Cox,PEARCE,ACT,Australian Capital Territory,"2607",Australia,Australia,1951-01-24,,,,,
22775,Male,Flynn Campion,NEEDLES,TAS,Tasmania,"7304",Australia,Australia,1958-08-27,,,,,
22826,Male,Edward Putilin,ASHFIELD,QLD,Queensland,"4670",Australia,Australia,1976-09-25,,,,,
23128,Male,Zane Sinclaire,SUMMERLANDS,VIC,Victoria,"3922",Australia,Australia,2000-01-02,,,,,
23203,Female,Gemma Philipp,MADORA BAY,WA,Western Australia,"6210",Australia,Australia,1998-08-11,2018-05-25,2019-12-19,3243.82,3,33
23320,Female,Samantha Weigel,WITTENOOM,WA,Western Australia,"6751",Australia,Australia,1960-04-15,2019-08-26,2019-08-26,639.96,1,18
23854,Male,Ali Wroblewski,MURRAWOMBIE,NSW,New South Wales,"2825",Australia,Australia,1943-01-02,,,,,
24230,Female,Zoe Dadswell,DAVOREN PARK SOUTH,SA,South Australia,"5113",Australia,Australia,1979-10-26,,,,,
24575,Female,Stella O'Mahony,PLACID HILLS,QLD,Queensland,"4343",Australia,Australia,2000-06-07,,,,,
25308,Female,Angelina Kates,WEST WIANGAREE,NSW,New South Wales,"2474",Australia,Australia,1987-03-12,,,,,
25935,Male,Charlie D'Arcy,BURNT YARDS,NSW,New South Wales,"2792",Australia,Australia,1975-01-13,,,,,
26477,Male,Caleb Willshire,MORISSET,NSW,New South Wales,"2264",Australia,Australia,1959-11-05,2017-10-11,2017-10-11,7543.88,1,40
26728,Female,Gemma Allan,MARRICKVILLE SOUTH,NSW,New South Wales,"2204",Australia,Australia,1979-01-18,2019-09-29,2019-09-29,13096.96,1,17
26906,Male,Xavier McPhee,CLEMTON PARK,NSW,New South Wales,"2206",Australia,Australia,1974-06-16,,,,,
26914,Female,Amelia England,MOUNT COTTRELL,VIC,Victoria,"3024",Australia,Australia,1940-10-10,,,,,
26970,Female,Rose Frater,BENDIGO SOUTH,VIC,Victoria,"3550",Australia,Australia,1990-11-12,,,,,
27356,Male,Hamish D'Hage,TURRAMURRA,NSW,New South Wales,"2074",Australia,Australia,1969-10-02,2018-06-07,2018-07-23,1572.33,2,32
27432,Female,Mikayla Favenc,CLEVE,SA,South Australia,"5640",Australia,Australia,1998-09-26,,,,,
27492,Female,Bianca Coombe,YAMBUK,VIC,Victoria,"3285",Australia,Australia,1987-11-04,2018-01-09,2019-12-18,7054.15,3,37
27616,Male,Cameron Tebbutt,BANNOCKBURN,VIC,Victoria,"3331",Australia,Australia,1987-05-17,2017-08-31,2019-03-09,2827.51,2,42
28076,Female,Alannah Onus,AVOCA,TAS,Tasmania,"7213",Australia,Australia,1979-01-02,,,,,
28559,Male,Samuel Israel,YILKI,SA,South Australia,"5211",Australia,Australia,1968-12-07,,,,,
28702,Female,Charli Lhotsky,DREWVALE,QLD,Queensland,"4116",Australia,Australia,1966-06-30,,,,,
29278,Male,Justin Hartog,PINEVALE,QLD,Queensland,"4754",Australia,Australia,1990-09-04,2018-12-26,2018-12-26,158.00,1,26
29303,Male,Max Cohn,KIRTON POINT,SA,South Australia,"5606",Australia,Australia,1983-05-01,,,,,
29320,Male,Levi Barraclough,BLACKBUTT,NSW,New South Wales,"2529",Australia,Australia,1938-10-14,,,,,
29555,Male,Owen Edouard,GLEN MARTIN,NSW,New South Wales,"2321",Australia,Australia,1992-07-03,2017-07-25,2021-01-20,4383.40,3,43
29647,Female,Jessica Maynard,BRENDA,NSW,New South Wales,"2831",Australia,Australia,1956-05-28,2018-11-16,2018-11-16,1677.56,1,27
29689,Female,Alexis Phillipps,BURWOOD HEIGHTS,NSW,New South Wales,"2136",Australia,Australia,1966-08-28,2019-11-09,2020-01-01,12177.99,2,15
29812,Male,Marcus Napier,ST KILDA ROAD CENTRAL,VIC,Victoria,"3004",Australia,Australia,1966-11-19,2018-07-10,2018-07-10,327.83,1,31
29837,Female,Rebecca Jaques,MOUNT GEORGE,NSW,New South Wales,"2424",Australia,Australia,1938-08-14,,,,,
29973,Female,Lauren Langton,DUCKINWILLA,QLD,Queensland,"4650",Australia,Australia,1937-09-24,2019-11-09,2020-06-25,3179.99,2,15
30090,Male,George Farrer,PARK AVENUE,QLD,Queensland,"4701",Australia,Australia,1960-10-07,2019-07-04,2019-11-09,1110.96,2,19
31374,Female,Ellie Griffin,ST AGNES,SA,South Australia,"5097",Australia,Australia,1960-12-02,,,,,
31784,Male,Zac Scherk,WAMBAN,NSW,New South Wales,"2537",Australia,Australia,1968-01-02,2019-09-24,2019-09-24,1951.93,1,17
32037,Male,Aaron Knopwood,LAKE MOKOAN,VIC,Victoria,"3673",Australia,Australia,1989-02-14,2018-09-01,2018-10-28,3240.13,2,29
32294,Male,Kai Nepean,RITE ISLAND,QLD,Queensland,"4807",Australia,Australia,1948-08-04,,,,,
32455,Female,Charlotte Crane,MOSQUITO CREEK,QLD,Queensland,"4387",Australia,Australia,1997-05-09,2017-09-30,2017-09-30,4425.00,1,41
32488,Male,Max Wylie,STAFFORD DC,QLD,Queensland,"4053",Australia,Australia,1954-03-15,2019-12-23,2019-12-23,32.00,1,14
32511,Male,Jasper Glassop,Woodford,NSW,New South Wales,"2463",Australia,Australia,1964-02-29,2019-07-17,2019-07-17,16082.82,1,19
32538,Female,Eva Hazon,BOOMOODEERIE,NSW,New South Wales,"2469",Australia,Australia,1986-07-20,2020-05-09,2020-05-09,592.00,1,9
32939,Female,Alica Sizer,WONGULLA,SA,South Australia,"5238",Australia,Australia,1951-06-09,,,,,
33205,Male,Andrew Hollway,CRYSTAL BROOK,QLD,Queensland,"4800",Australia,Australia,1943-01-10,2018-12-21,2020-02-10,3871.54,4,26
34081,Female,Imogen Permewan,FYANS CREEK,VIC,Victoria,"3381",Australia,Australia,1939-05-08,2017-02-10,2018-12-26,9588.53,4,48
34126,Female,Victoria Tasman,MENINGIE EAST,SA,South Australia,"5264",Australia,Australia,1967-09-07,,,,,
34143,Male,John Gowlland,WARRANWOOD,VIC,Victoria,"3134",Australia,Australia,1991-04-07,2020-02-03,2020-02-03,4726.00,1,12
34451,Male,Harry Edwin,GLADSTONE,NSW,New South Wales,"2440",Australia,Australia,1972-11-01,,,,,
34850,Female,Caitlin O'Loghlin,BLUE VALE,NSW,New South Wales,"2380",Australia,Australia,1960-11-30,2016-02-25,2017-08-19,2477.96,2,60
35479,Male,Jeremy Petre,COSSACK,WA,Western Australia,"6720",Australia,Australia,1978-06-08,,,,,
35703,Male,Rory Cotton,LUGARNO,NSW,New South Wales,"2210",Australia,Australia,1961-12-14,2018-11-14,2018-11-14,715.98,1,27
35795,Male,Riley Clegg,MOYARRA,VIC,Victoria,"3951",Australia,Australia,1995-08-07,2019-02-16,2019-02-16,8790.72,1,24
36112,Female,Emma Gepp,ANNUELLO,VIC,Victoria,"3549",Australia,Australia,1937-02-12,2018-07-05,2019-11-05,2939.55,2,31
36507,Male,Joseph Paten,Golden Valley,TAS,Tasmania,"7304",Australia,Australia,1955-03-23,2018-07-21,2019-12-28,5605.50,2,31
36816,Male,Luke Lazenby,LONGWARRY NORTH,VIC,Victoria,"3816",Australia,Australia,1971-05-18,,,,,
37251,Male,Leo Scerri,GHERANG,VIC,Victoria,"3240",Australia,Australia,1951-06-17,2018-01-23,2018-01-23,3779.49,1,37
37408,Male,Jaxon Rebell,TORRENS,ACT,Australian Capital Territory,"2607",Australia,Australia,1975-10-11,2018-12-01,2018-12-01,4562.95,1,26
37585,Female,Lauren Fink,YELTA,SA,South Australia,"5558",Australia,Australia,1944-04-17,2021-02-16,2021-02-16,4032.98,1,0
37802,Male,Luke Byron,SOUTH DUDLEY,VIC,Victoria,"3995",Australia,Australia,1990-07-09,2017-01-07,2019-01-22,8883.96,3,49
38036,Female,Kiara Schaw,UPPER YARRAMAN,QLD,Queensland,"4614",Australia,Australia,1960-07-26,2018-05-31,2018-05-31,1049.80,1,33
38195,Female,Sara Roe,PAYNEDALE,WA,Western Australia,"6239",Australia,Australia,1972-11-22,2018-02-22,2020-02-15,6548.02,3,36
38212,Female,Stella Cain,WOOROONOOK,VIC,Victoria,"3525",Australia,Australia,1985-01-28,2019-11-29,2019-11-29,400.99,1,15
38613,Male,Hamish Mason,Tacoma,NSW,New South Wales,"2259",Australia,Australia,1988-03-16,2016-02-19,2019-03-07,6230.10,3,60
39246,Male,Darcy Falconer,MANDALAY,QLD,Queensland,"4802",Australia,Australia,1974-10-20,2016-06-16,2016-06-16,2154.00,1,56
39314,Male,Leo Ligar,LIGHT PASS,SA,South Australia,"5355",Australia,Australia,1985-04-20,2018-11-05,2018-11-05,453.56,1,27
39498,Female,Amy Curtain,SWANBROOK,NSW,New South Wales,"2360",Australia,Australia,1996-08-13,,,,,
39582,Male,Mason Therry,RISDON,TAS,Tasmania,"7017",Australia,Australia,1974-03-15,2017-12-21,2018-11-24,5555.00,2,38
40327,Female,Madeleine Laing,PIALLIGO,ACT,Australian Capital Territory,"2609",Australia,Australia,1940-08-23,,,,,
40443,Female,Amber Normanby,CARSS PARK,NSW,New South Wales,"2221",Australia,Australia,1938-04-13,2019-10-29,2019-10-29,624.00,1,16
40649,Male,Kai De Vis,KANGIARA,NSW,New South Wales,"2582",Australia,Australia,1972-11-29,2017-12-20,2019-08-07,11007.00,2,38
40669,Male,Cody Wheare,MARTINS CREEK,NSW,New South Wales,"2420",Australia,Australia,1968-09-22,2019-02-09,2019-02-09,4359.00,1,24
